fips,county,state,state_code,male,female,median_age,population,female_percentage,lat,long,life_expectancy,mortality_risk,all_poverty,median_hh_income,sq_miles,pct_impoverished,pop_density
17085,Jo Daviess County,Illinois,IL,10956,10878,49.7,21834,49.8213794998626,42.36575464799677,-90.21249871694927,80.85577372,44.57129823,2145.0,54169.0,601.09,0.0982412750755702,36.32401137932755
17091,Kankakee County,Illinois,IL,54615,56446,37.6,111061,50.82432176911787,41.13771025937167,-87.86183129275948,77.0278446,55.23213423,14958.0,54624.0,676.56,0.1346827419166044,164.1554333688069
17109,McDonough County,Illinois,IL,15009,15866,32.1,30875,51.38785425101214,40.45619404065306,-90.67791394623416,79.60397095,49.82401885,5470.0,44460.0,589.41,0.177165991902834,52.382891365942214
17117,Macoupin County,Illinois,IL,22602,23117,43.6,45719,50.56322316761084,39.2610041650631,-89.9244317102756,78.02152025,52.89154214,5962.0,52483.0,862.91,0.13040530195323607,52.98235041893129
17127,Massac County,Illinois,IL,6794,7636,43.8,14430,52.917532917532924,37.21896984324482,-88.70772193834992,75.88485458,57.99897141,2972.0,42833.0,237.22,0.20595980595980595,60.82960964505522
17139,Moultrie County,Illinois,IL,7172,7531,40.3,14703,51.22083928449976,39.64147353663316,-88.61929701812147,78.18579081,54.85253384,1444.0,57447.0,335.94,0.09821124940488336,43.766744061439546
17141,Ogle County,Illinois,IL,25614,25714,42.4,51328,50.097412718204495,42.0426469030614,-89.32064357576418,79.64018583,48.89856323,5167.0,58812.0,758.57,0.1006663029925187,67.66415755961876
17143,Peoria County,Illinois,IL,89387,95076,37.2,184463,51.54204366187257,40.78804569197607,-89.75996273885721,78.22309534,51.93440315,27254.0,52380.0,619.21,0.14774778681903689,297.9005507017005
17147,Piatt County,Illinois,IL,8080,8347,43.0,16427,50.812686430876,40.010340074684684,-88.59110643386009,79.39691232,49.53752026,1115.0,65797.0,439.2,0.0678760577098679,37.40209471766849
17161,Rock Island County,Illinois,IL,71596,73679,40.1,145275,50.71691619342626,41.467320196285186,-90.56737501858306,78.75664467,51.08472581,21769.0,50952.0,427.64,0.1498468421958355,339.7133102609672
17167,Sangamon County,Illinois,IL,94876,102785,40.0,197661,52.00064757337057,39.758166181980506,-89.65887689980788,78.33150749,51.61916111,26767.0,55090.0,868.3,0.13541872195324317,227.64136819071751
17177,Stephenson County,Illinois,IL,21986,23447,45.1,45433,51.60786212664804,42.35172178233953,-89.6623640191516,79.67764081,48.19041819,6916.0,45863.0,564.52,0.1522241542491141,80.48076241762914
17183,Vermilion County,Illinois,IL,38967,39440,40.3,78407,50.30163123190532,40.183416435897776,-87.73281471248909,76.19212785,57.42358078,15183.0,45247.0,898.37,0.19364342469422374,87.27695715573762
17195,Whiteside County,Illinois,IL,27799,28597,43.2,56396,50.707496985601814,41.75627873396718,-89.91409401353252,78.91567905,50.15846849,6586.0,51567.0,684.25,0.11678133200936236,82.4201680672269
